FieldMappingID	ReplicationID	IsForth	TrgFieldID	SrcFieldID	SrcExpression	
6305	245	Y	11685		MakeDateTime("YYYYMMDD",[DTETRN])	
6336	246	Y	11716		MakeDateTime("YYYYMMDD",[DTEAPL])	
6337	246	Y	11717		MakeDateTime("YYYYMMDD",[DTEDSC])	
6338	246	Y	11718		MakeDateTime("YYYYMMDD",[DTEDUE])	
6339	246	Y	11719		MakeDateTime("YYYYMMDD",[DTEEFF])	
6340	246	Y	11720		MakeDateTime("YYMMDD",[DTEREF])	
6341	246	Y	11721		MakeDateTime("YYYYMMDD",[DTETRN])	
6367	247	Y	11747		[!RecordID]	
6373	248	Y	11753		[!RecordID]	
6391	248	Y	11771		MakeDateTime("YYYYMMDD",[DTEAPL])	
6392	248	Y	11772		MakeDateTime("YYYYMMDD",[DTEDSC])	
6393	248	Y	11773		MakeDateTime("YYYYMMDD",[DTEDUE])	
6394	248	Y	11774		MakeDateTime("YYYYMMDD",[DTEEFF])	
6395	248	Y	11775		MakeDateTime("YYYYMMDD",[DTETRN])	
6427	249	Y	11807		[!RecordID]	
6446	249	Y	11826		MakeDateTime("YYYYMMDD",[DTEAPL])	
6447	249	Y	11827		MakeDateTime("YYYYMMDD",[DTEDUE])	
6448	249	Y	11828		MakeDateTime("YYYYMMDD",[DTEDSC])	
6449	249	Y	11829		MakeDateTime("YYYYMMDD",[DTEEFF])	
6450	249	Y	11830		MakeDateTime("YYYYMMDD",[DTETRN])	
6477	250	Y	11857		[!RecordID]	
6486	251	Y	11866		MakeDateTime("MMDDYY",[DTEREF])	
6492	251	Y	11872		Int([FISCAL]/100)	
6493	252	Y	11873		[!RecordID]	
6516	252	Y	11896		MakeDateTime("YYYYMMDD",[DTETRN])	
6517	253	Y	11897		[!RecordID]	
6522	254	Y	11902		[!RecordID]	
6532	254	Y	11912		MakeDateTime("YYYYMMDD",[CHKDTE])	
6536	254	Y	11916		MakeDateTime("YYYYMMDD",[DTETRN])	
6563	255	Y	11943		MakeDateTime("YYYYMMDD",[OPENED])	
6564	255	Y	11944		MakeDateTime("YYYYMMDD",[DTEFOL])	
6565	255	Y	11945		MakeDateTime("YYYYMMDD",[INVDTE])	
6569	255	Y	11949		MakeDateTime("YYYYMMDD",[LSTPDT])	
6577	255	Y	11957		MakeDateTime("YYYYMMDD",[DTERVW])	
6579	255	Y	11959		MakeDateTime("YYYYMMDD",[HIGHDT])	
6589	256	Y	11969		MakeDateTime("YYYYMMDD", [DTECLR])	
6590	256	Y	11970		MakeDateTime("YYYYMMDD", [DTETRN])	
6601	257	Y	11981		[!RecordID]	
6640	257	Y	12020		MakeDateTime([DFCRTD],[DFCRTT])	
6641	257	Y	12021		MakeDateTime([DFUPDD],[DFUPDT])	
6653	258	Y	12033		MakeDateTime("YYYYMMDD",[CMADTE])	
6676	258	Y	12056		MakeDateTime(MakeDateTime("YYYYMMDD",[CMCDTE]),[CMCTIM])	
6691	258	Y	12071		MakeDateTime(MakeDateTime("YYYYMMDD",[CMDATE]),[CMUTIM])	
6838	259	Y	12218		MakeDateTime([CDLSMO],[CDLSDA],[CDLSYR],[CDLSCT])	
6886	259	Y	12266		MakeDateTime(  MakeDateTime ( "MMDDYY",[CDUDTE]),  [CDUTIM] ) 	
6898	259	Y	12278		LowDate(MakeDateTime([CHODMO], [CHODDA], [CHODYR], [CHODCT]))	
6900	259	Y	12280		MakeDateTime([SACTMO], [SACTDA],[SACTYR],[SACTCT])	
6901	259	Y	12281		MakeDateTime([SPRMMO],[SPRMDA],[SPRMYR],[SPRMCT])	
6902	259	Y	12282		MakeDateTime([SREQMO], [SREQDA], [SREQYR], [SREQCT])	
6930	260	Y	12310		MakeDateTime("MMDDYY",[CHDLSP])	
6931	260	Y	12311		MakeDateTime("MMDDYY",[CHDTLA], [CHDTCC])	
6942	260	Y	12322		MakeDateTime([CHODMO],[CHODDA],[CHODYR],[CHODCT])	
6944	260	Y	12324		MakeDateTime([CHORMO],[CHORDA],[CHORYR],[CHORCT])	
6966	260	Y	12346		MakeDateTime(MakeDateTime("YYYYMMDD",[CHUDTE]), [CHUTIM])	
7008	261	Y	12388		[!RecordID]	
7022	261	Y	12402		MakeDateTime([INDMO], [INDDA], [INDYR], [INDCT])	
7073	261	Y	12453		MakeDateTime( MakeDateTime ("YYYYMMDD",[INDUDE]) , [INDUTI])	
7091	262	Y	12471		[!RecordID]	
7104	262	Y	12484		MakeDateTime([INDUMO],[INDUDA],[INDUYR],[INDUCT])	
7111	262	Y	12491		MakeDateTime([INHMO],[INHDA],[INHYR],[INHCT])	
7126	262	Y	12506		MakeDateTime(MakeDateTime("YYYYMMDD",[INHUDE]), [INHUTI])	
7133	262	Y	12513		MakeDateTime([INIMO],[INIDA],[INIYR],[INICT])	
7141	262	Y	12521		MakeDateTime(MakeDateTime([INRFMO],[INRFDA],[INRFYR],[INRFCT]), [INRFTM])	
7163	263	Y	12543		[!RecordID]	
7168	263	Y	12548		MakeDateTime(MakeDateTime("CYYMMDD",[ODTRGD]),[ODTRGT])	
7172	263	Y	12552		MakeDateTime([SACTMO],[SACTDA],[SACTYR],[SACTCT])	
7188	263	Y	12568		MakeDateTime("MMDDYY",[CDDTLD])	
7197	263	Y	12577		MakeDateTime([NACTMO],[NACTDA],[NACTYR],[NACTCT])	
7213	263	Y	12593		MakeDateTime("MMDDYY",[NDDTLD])	
7220	263	Y	12600		MakeDateTime([CHODMO],[CHODDA],[CHODYR],[CHODCT])	
7222	263	Y	12602		MakeDateTime([NHODMO],[NHODDA],[NHODYR],[NHODCT])	
7229	264	Y	12609		MakeDateTime([OACTMO], [OACTDA], [OACTYR], [OACTCT]) 	
7233	264	Y	12613		MakeDateTime("MMDDYY",[OSLMDT])	
7234	264	Y	12614		MakeDateTime("YY",[OSLSMO], [OSLSDA], [OSLSYR]) 	
7236	264	Y	12616		MakeDateTime("YY",[OSODMO], [OSODDA], [OSODYR]) 	
7289	267	Y	12669		[!RecordID]	
7305	267	Y	12685		MakeDateTime("MMDDYY",[TSDCNT])	
7310	267	Y	12690		MakeDateTime([TSDTCC])	
7311	267	Y	12691		MakeDateTime([TSDTCN])	
7312	267	Y	12692		MakeDateTime([TSDTDU])	
7313	267	Y	12693		MakeDateTime([TSDTTR])	
7314	267	Y	12694		MakeDateTime("MMDDYY",[TSDUDT],[TSDUCC])	
7352	267	Y	12732		LowDate(MakeDateTime(  MakeDateTime("CYYMMDD",[TSDATE]),[TSTIME]))	
7373	268	Y	12753		MakeDateTime([LMMOLR],[LMDALR],[LMYRLR],[LMCTLR])	
7376	268	Y	12756		MakeDateTime("MMDDYY",[LMDCNT])	
7377	268	Y	12757		MakeDateTime("MMDDYY",[LMDNCC])	
7383	268	Y	12763		MakeDateTime([LMDTCC])	
7384	268	Y	12764		MakeDateTime([LMDTLC])	
7385	268	Y	12765		MakeDateTime([LMDTLR])	
7386	269	Y	12766		[!RecordID]	
7402	269	Y	12782		MakeDateTime([PSEXMO],[PSEXDA],[PSEXYR],[PSEXCT])	
7420	269	Y	12800		MakeDateTime("YYYYMMDD",[PSUDTE])	
7428	270	Y	12808		[!RecordID]	
7430	270	Y	12810		MakeDateTime([ALMO],[ALDA],[ALYR],[ALCT])	
7431	270	Y	12811		MakeDateTime("MMDDYY",[ALDISS])	
7438	270	Y	12818		MakeDateTime("MMDDYY",[PODATE],[PODACC])	
7447	271	Y	12827		LowDate(MakeDateTime([PECSMO],[PECSDA],[PECSYR],[PECSCT]))	
7448	271	Y	12828		MakeDateTime([PECSDT])	
7449	271	Y	12829		MakeDateTime("MMDDYY",[PEDTA])	
7450	271	Y	12830		MakeDateTime([PEDTAK])	
7452	271	Y	12832		MakeDateTime("MMDDYY",[PEDTK])	
7453	271	Y	12833		MakeDateTime([PEDTLR])	
7454	271	Y	12834		MakeDateTime("MMDDYY",[PEDTO])	
7455	271	Y	12835		MakeDateTime([PEDTOR])	
7459	271	Y	12839		MakeDateTime("MMDDYY",[PEMCDG])	
7462	271	Y	12842		MakeDateTime([PEMCRC])	
7463	271	Y	12843		MakeDateTime("CYYMMDD",[PEMCRD])	
7465	271	Y	12845		MakeDateTime("MMDDYY",[PEMPDG])	
7466	271	Y	12846		MakeDateTime("MMDDYY",[PEMPDR])	
7469	271	Y	12849		MakeDateTime("MMDDYY",[PEMPRD])	
7472	271	Y	12852		MakeDateTime("YYYYMMDD",[PEMVRD])	
7484	271	Y	12864		MakeDateTime("YYYYMMDD",[PEUDTE])	
7491	271	Y	12871		MakeDateTime("MMDDYY",[PRMCDR])	
7492	271	Y	12872		MakeDateTime([PEMCGN],[PEMCTG])	
7493	271	Y	12873		MakeDateTime([PEMCRV],[PEMCTR])	
7494	271	Y	12874		MakeDateTime([PEMPGN],[PEMPTG])	
7495	271	Y	12875		MakeDateTime([PEMPRV],[PEMPTR])	
7514	272	Y	12894		MakeDateTime("MMDDYY", [PODATE])	
7516	272	Y	12896		MakeDateTime([PODTCR])	
7517	272	Y	12897		MakeDateTime([PODTED])	
7518	272	Y	12898		MakeDateTime("YYYYMMDD",[PODTEF])	
7519	272	Y	12899		MakeDateTime("YYYYMMDD",[PODTEX])	
7521	272	Y	12901		MakeDateTime([PODTRL])	
7522	272	Y	12902		MakeDateTime(MakeDateTime([POEMM],[POEDD], [POEYY], [POECC]), [POETM])	
7529	272	Y	12909		MakeDateTime("YYYYMMDD",[POLDRC])	
7568	272	Y	12948		MakeDateTime(MakeDateTime([POEMM],[POEDD], [POEYY], [POECC]), [POETM])	
7584	273	Y	12964		MakeDateTime("YYYYMMDD", [VMADTE])	
7647	273	Y	13027		MakeDateTime("YYYYMMDD", [VMUDTE])	
7664	274	Y	13045		MakeDateTime([VHDTCV])	
7665	274	Y	13046		MakeDateTime([VHDTRJ])	
7666	274	Y	13047		MakeDateTime([VHDTRT])	
7667	274	Y	13048		MakeDateTime([VHDTRW])	
7668	274	Y	13049		MakeDateTime([VHDTSC])	
7669	274	Y	13050		MakeDateTime([VHDTSK])	
7670	274	Y	13051		MakeDateTime([VHDTSP])	
7715	275	Y	13096		[!RecordID]	
7723	275	Y	13104		MakeDateTime("MMDDYY",[ALDISS])	
7732	275	Y	13113		MakeDateTime([ALMM1],[ALDD1],[ALYY1],[ALCC1])	
7733	275	Y	13114		MakeDateTime([ALMO],[ALDA],[ALYR],[ALCT])	
7734	275	Y	13115		MakeDateTime(MakeDateTime("MMDDYY",[ALMSDT]),[ALMSTM])	
7747	275	Y	13128		MakeDateTime(MakeDateTime("MMDDYY",[ALRVDT]),[ALRVTM])	
7756	275	Y	13137		MakeDateTime("MMDDYY",[WODTOR])	
7765	276	Y	13146		MakeDateTime([DUPDDT],[DUPDTT])	
7784	277	Y	13165		MakeDateTime ("YY", [WDACMM] ,  [WDACDD] ,   [WDACYY]  )	
7787	277	Y	13168		MakeDateTime  ([WDDUMM], [WDDUDD], [WDDUYY], [WDDUCC]) 	
7804	277	Y	13185		MakeDateTime ("YY",[WDSTMM], [WDSTDD], [WDSTYY]) 	
7820	277	Y	13201		MakeDateTime(MakeDateTime("YYYYMMDD",[WDUDTE]), [WDUTIM])	
7838	278	Y	13219		MakeDateTime([WOCMM],[WOCDD],[WOCYY],[WOCCC])	
7843	278	Y	13224		MakeDateTime("MMDDYY",[WODLSA],[WODLCC])	
7844	278	Y	13225		MakeDateTime("MMDDYY",[WODTCL])	
7845	278	Y	13226		MakeDateTime("MMDDYY",[WODTCM])	
7846	278	Y	13227		MakeDateTime("MMDDYY",[WODTLR])	
7847	278	Y	13228		MakeDateTime("MMDDYY",[WODTOR])	
7848	278	Y	13229		MakeDateTime("MMDDYY",[WODTST])	
7858	278	Y	13239		MakeDateTime(MakeDateTime("MMDDYY",[WOMCDG]),[WOMCTG])	
7859	278	Y	13240		MakeDateTime(MakeDateTime("MMDDYY",[WOMCDR]), [WOMCTR])	
7863	278	Y	13244		MakeDateTime(MakeDateTime("MMDDYY",[WOMPDG]),[WOMPTG])	
7864	278	Y	13245		MakeDateTime(MakeDateTime("MMDDYY",[WOMPDR]), [WOMPTR])	
7875	278	Y	13256		MakeDateTime("MMDDYY",[WOODUE])	
7905	278	Y	13286		MakeDateTime(  MakeDateTime( "YYYYMMDD",[WOUDTE] )  , [WOUTIM] )	
7933	279	Y	13314		LowDate(MakeDateTime([RTEFMO],[RTEFDA],[RTEFYR],[RTEFCT]))	
7934	279	Y	13315		LowDate(MakeDateTime([RTEXMO],[RTEXDA],[RTEXYR],[RTEXCT]))	
7948	279	Y	13329		MakeDateTime(MakeDateTime("YYYYMMDD",[RTUDTE]),[RTUTIM])	
7962	280	Y	13343		LowDate(MakeDateTime([MGEFMO],[MGEFDA],[MGEFYR],[MGEFCT]))

	
7964	281	Y	13345		[!RecordID]	
